Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18",402,2,1uF,C52923
"C10, C14, C15, C16, C17",805,5,22uF,C45783
C11,603,1,10nF,C57112
"C12, C13, C9",603,3,0.1uF, C14663 
C19,603,1,10uF,C52923
"C2, C4, C5",402,3,0.1uF,C1525
C20,603,1,0.1uF,C1525
C3,1206,1,10uF,
C6,603,1,10uF,C19702
"C7, C8",402,2,12pF,C1547
CN1,CONN-SMD_BM03B-SURS-TF,1,BM03B-SURS-TF(LF)(SN),C594379
"D1, D2",603,2,LED,C7496820
D3,603,1,LED,C2962098
D4,603,1,LED,C7496811
"D5, D6",D_SOD-323,2,1N5819WS,C191023
J1,USB-C_16,1,USB_C_Receptacle,C2765186
J2,2x05_P1.27mm,1,SWD,C7501289
R1,1206,1,0.1,C382273
"R11, R12",402,2,3.3k,C25890
R2,603,1,10k,C25804
"R3, R4",402,2,5.1k,C25905
"R5, R6, R7",402,3,330,C25104
R9,402,1,470,C25117
SW1,SW_SPST_B3U-1000P,1,SW_SPST,C49234121
TP1,TestPoint_Loop_D2.50mm_Drill1.0mm,1,TestPoint,
U1,TSSOP-14_4.4x5mm_P0.65mm,1,AS5048A,C2655181
U3,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1,SSP7985P33PR,C2845050
U4,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,C78624
"U5, U6",CONN-TH_4P-XT30PW-M,2,XT30(2+2)PW-M.G.B,C19268030
U7,HTSSOP-28_L9.8-W4.5-P0.65-LS6.6-BL-EP,1,DRV8313PWP,C92482 
Y2,Crystal_SMD_3.2x1.5mm,1,32.768kHz,C32346
